3,Ornn, Braum, Volibear,Electric,2,Warden,2,Glacial,2,Berserker,1,,,,,,,,,,
2,Ivern, Maokai, Neeko,Woodland,3,Druid,3,,,,,,,,,,,,,,
2,Ivern, Maokai, Leblanc,Woodland,3,Druid,2,Mage,1,Assassin,1,,,,,,,,,,
2,Ivern, Leblanc, Neeko,Woodland,3,Druid,2,Mage,1,Assassin,1,,,,,,,,,,
2,Maokai, Leblanc, Neeko,Woodland,3,Druid,2,Mage,1,Assassin,1,,,,,,,,,,
2,Varus, Kindred, Qiyana_I,Inferno,3,Ranger,2,Shadow,1,Assassin,1,,,,,,,,,,
2,Thresh, Nautilus, Qiyana_O,Ocean,3,Warden,2,Assassin,1,,,,,,,,,,,,
2,Diana, Varus, Kindred,Inferno,3,Assassin,1,Ranger,2,Shadow,1,,,,,,,,,,
2,Zyra, Varus, Kindred,Inferno,3,Summoner,1,Ranger,2,Shadow,1,,,,,,,,,,
2,Vladamir, Thresh, Nautilus,Ocean,3,Mage,1,Warden,2,,,,,,,,,,,,
2,Syndra, Thresh, Nautilus,Ocean,3,Mage,1,Warden,2,,,,,,,,,,,,
2,Vladamir, Leblanc, Syndra,Ocean,2,Mage,3,Woodland,1,Assassin,1,,,,,,,,,,
2,Vladamir, Syndra, Veigar,Ocean,2,Mage,3,Shadow,1,,,,,,,,,,,,
2,Leona, Nasus, Karma,Lunar,2,Warden,2,Light,1,Mystic,1,,,,,,,,,,
2,Leona, Ornn, Karma,Lunar,2,Warden,2,Electric,1,Mystic,1,,,,,,,,,,
2,Leona, Braum, Karma,Lunar,2,Warden,2,Glacial,1,Mystic,1,,,,,,,,,,
2,Leona, Thresh, Karma,Lunar,2,Warden,2,Ocean,1,Mystic,1,,,,,,,,,,
2,Leona, Karma, Nautilus,Lunar,2,Warden,2,Mystic,1,Ocean,1,,,,,,,,,,
2,Ornn, Thresh, Volibear,Electric,2,Warden,2,Ocean,1,Glacial,1,Berserker,1,,,,,,,,
2,Ornn, Volibear, Nautilus,Electric,2,Warden,2,Glacial,1,Berserker,1,Ocean,1,,,,,,,,
2,Braum, Thresh, Volibear,Glacial,2,Warden,2,Ocean,1,Electric,1,Berserker,1,,,,,,,,
2,Braum, Thresh, Ezreal,Glacial,2,Warden,2,Ocean,1,Ranger,1,,,,,,,,,,
