0,Diana,Inferno, 1,Assassin, 1
0,Ivern,Woodland, 1,Druid, 1
0,KogMaw,Poison, 1,Predator, 1
0,Maokai,Woodland, 1,Druid, 1
0,Nasus,Light, 1,Warden, 1
0,Ornn,Electric, 1,Warden, 1
0,Renekton,Desert, 1,Berserker, 1
0,Taliyah,Mountain, 1,Mage, 1
0,Vayne,Light, 1,Ranger, 1
0,Vladamir,Ocean, 1,Mage, 1
0,Warwick,Glacial, 1,Predator, 1
0,Zyra,Inferno, 1,Summoner, 1
0,Braum,Glacial, 1,Warden, 1
0,Jax,Light, 1,Berserker, 1
0,Leblanc,Woodland, 1,Mage, 1,Assassin, 1
0,Malzahar,Shadow, 1,Summoner, 1
0,Neeko,Woodland, 1,Druid, 1
0,RekSai,Steel, 1,Predator, 1
0,Senna,Shadow, 1,Soulbound, 1
0,Skarner,Crystal, 1,Predator, 1
0,Syndra,Ocean, 1,Mage, 1
0,Thresh,Ocean, 1,Warden, 1
0,Varus,Inferno, 1,Ranger, 1
0,Volibear,Electric, 1,Glacial, 1,Berserker, 1
0,Yasuo,Cloud, 1,Blademaster, 1
