Product,Skin,Normal Price,Sale Price
MP7,Armor Core (Field-Tested),$0.09 USD,$0.08 USD
Sawed-Off,Origami (Field-Tested),$0.10 USD,$0.09 USD
Sawed-Off,Origami (Battle-Scarred),$0.10 USD,$0.09 USD
MP7,Armor Core (Well-Worn),$0.11 USD,$0.10 USD
Negev,Man-o'-war (Field-Tested),$0.13 USD,$0.12 USD
Negev,Man-o'-war (Minimal Wear),$0.14 USD,$0.13 USD
MP7,Armor Core (Minimal Wear),$0.14 USD,$0.13 USD
P250,Valence (Field-Tested),$0.14 USD,$0.13 USD
P250,Valence (Battle-Scarred),$0.14 USD,$0.13 USD
MP7,Armor Core (Battle-Scarred),$0.15 USD,$0.14 USD
Sawed-Off,Origami (Minimal Wear),$0.15 USD,$0.14 USD
Sawed-Off,Origami (Well-Worn),$0.15 USD,$0.14 USD
P250,Valence (Minimal Wear),$0.21 USD,$0.20 USD
MP7,Armor Core (Factory New),$0.21 USD,$0.20 USD
StatTrak™ MP7,Armor Core (Field-Tested),$0.23 USD,$0.22 USD
StatTrak™ Sawed-Off,Origami (Battle-Scarred),$0.24 USD,$0.23 USD
Sawed-Off,Origami (Factory New),$0.26 USD,$0.25 USD
StatTrak™ Sawed-Off,Origami (Field-Tested),$0.26 USD,$0.25 USD
P250,Valence (Well-Worn),$0.28 USD,$0.27 USD
Desert Eagle,Bronze Deco (Field-Tested),$0.28 USD,$0.27 USD
CZ75-Auto,Pole Position (Field-Tested),$0.34 USD,$0.33 USD
StatTrak™ MP7,Armor Core (Battle-Scarred),$0.34 USD,$0.33 USD
CZ75-Auto,Pole Position (Battle-Scarred),$0.34 USD,$0.33 USD
UMP-45,Grand Prix (Field-Tested),$0.35 USD,$0.34 USD
StatTrak™ MP7,Armor Core (Minimal Wear),$0.36 USD,$0.35 USD
MAG-7,Heat (Battle-Scarred),$0.37 USD,$0.36 USD
MAG-7,Heat (Well-Worn),$0.38 USD,$0.37 USD
StatTrak™ Sawed-Off,Origami (Well-Worn),$0.39 USD,$0.38 USD
StatTrak™ MP7,Armor Core (Well-Worn),$0.40 USD,$0.39 USD
Desert Eagle,Bronze Deco (Well-Worn),$0.43 USD,$0.42 USD
StatTrak™ Sawed-Off,Origami (Minimal Wear),$0.50 USD,$0.48 USD
StatTrak™ P250,Valence (Field-Tested),$0.52 USD,$0.50 USD
MAG-7,Heat (Field-Tested),$0.52 USD,$0.50 USD
CZ75-Auto,Pole Position (Well-Worn),$0.54 USD,$0.52 USD
CZ75-Auto,Pole Position (Minimal Wear),$0.57 USD,$0.55 USD
Desert Eagle,Bronze Deco (Minimal Wear),$0.57 USD,$0.55 USD
StatTrak™ P250,Valence (Battle-Scarred),$0.57 USD,$0.55 USD
StatTrak™ Negev,Man-o'-war (Field-Tested),$0.61 USD,$0.59 USD
StatTrak™ MP7,Armor Core (Factory New),$0.75 USD,$0.72 USD
P250,Valence (Factory New),$0.76 USD,$0.73 USD
StatTrak™ Negev,Man-o'-war (Minimal Wear),$0.77 USD,$0.74 USD
Desert Eagle,Bronze Deco (Battle-Scarred),$0.80 USD,$0.77 USD
StatTrak™ CZ75-Auto,Pole Position (Field-Tested),$0.82 USD,$0.79 USD
Desert Eagle,Bronze Deco (Factory New),$0.84 USD,$0.81 USD
StatTrak™ CZ75-Auto,Pole Position (Battle-Scarred),$0.87 USD,$0.84 USD
StatTrak™ UMP-45,Grand Prix (Field-Tested),$0.88 USD,$0.85 USD
StatTrak™ Sawed-Off,Origami (Factory New),$0.89 USD,$0.86 USD
MAG-7,Heat (Minimal Wear),$1.00 USD,$0.96 USD
CZ75-Auto,Pole Position (Factory New),$1.09 USD,$1.05 USD
StatTrak™ P250,Valence (Minimal Wear),$1.09 USD,$1.05 USD
StatTrak™ CZ75-Auto,Pole Position (Well-Worn),$1.22 USD,$1.17 USD
StatTrak™ P250,Valence (Well-Worn),$1.24 USD,$1.19 USD
StatTrak™ MAG-7,Heat (Well-Worn),$1.30 USD,$1.25 USD
StatTrak™ MAG-7,Heat (Battle-Scarred),$1.42 USD,$1.36 USD
AK-47,Elite Build (Battle-Scarred),$1.46 USD,$1.40 USD
AK-47,Elite Build (Well-Worn),$1.52 USD,$1.46 USD
AWP,Worm God (Field-Tested),$1.64 USD,$1.57 USD
StatTrak™ Desert Eagle,Bronze Deco (Field-Tested),$1.64 USD,$1.57 USD
StatTrak™ MAG-7,Heat (Field-Tested),$1.73 USD,$1.66 USD
AWP,Worm God (Minimal Wear),$1.76 USD,$1.69 USD
AK-47,Elite Build (Field-Tested),$1.91 USD,$1.83 USD
FAMAS,Djinn (Well-Worn),$1.95 USD,$1.87 USD
FAMAS,Djinn (Field-Tested),$2.00 USD,$1.92 USD
Five-SeveN,Monkey Business (Battle-Scarred),$2.04 USD,$1.96 USD
FAMAS,Djinn (Battle-Scarred),$2.04 USD,$1.96 USD
StatTrak™ Desert Eagle,Bronze Deco (Well-Worn),$2.09 USD,$2.00 USD
Five-SeveN,Monkey Business (Well-Worn),$2.09 USD,$2.00 USD
StatTrak™ CZ75-Auto,Pole Position (Minimal Wear),$2.12 USD,$2.03 USD
Five-SeveN,Monkey Business (Field-Tested),$2.16 USD,$2.07 USD
