Class,Stages
Cultist,3
Cultist,6
Cultist,9
Divine,2
Divine,4
Divine,6
Divine,8
Dusk,2
Dusk,4
Dusk,6
Enlightened,2
Enlightened,4
Enlightened,6
Elderwood,3
Elderwood,6
Elderwood,9
Exile,1
Exile,2
Fortune,3
Fortune,6
Moonlight,3
Ninja,1
Ninja,4
Spirit,2
Spirit,4
Warlord,3
Warlord,6
Warlord,9
The Boss,1
Tormented,1
Adept,2
Adept,3
Adept,4
Assassin,2
Assassin,4
Assassin,6
Brawler,2
Brawler,4
Brawler,6
Dazzler,2
Dazzler,4
Dualist,2
Dualist,4
Dualist,6
Dualist,8
Hunter,2
Hunter,3
Hunter,4
Hunter,5
Keeper,2
Keeper,4
Keeper,6
Mage,3
Mage,6
Mage,9
Mystic,2
Mystic,4
Mystic,6
Shade,2
Shade,3
Shade,4
Sharpshooter,2
Sharpshooter,4
Sharpshooter,6
Vanguard,2
Vanguard,4
Vanguard,6
Emperor,1
