[-76.50270104984202, -81.41769442462542]
[-11.458679807001335, 41.264346576326865]
[-92.85754650341417, -50.05203673181069]
[47.40141398271799, 38.78685519769573]
[-34.459649122807015, 71.08155236576289]
[-85.11610891207869, -17.147415137339564]
[-75.04430538172716, 22.741176470588236]
[-70.7210974665339, -14.298594977320505]
[-114.01249557939408, -49.88294235529884]
[0.6737325174825175, 53.01070804195804]
[-14.725262643537746, 79.86525775714634]
[14.516088644046576, -47.162764492299985]
[-54.252192703698995, -45.547349688572524]
[128.3606516290727, -2.5586466165413526]
[-69.32200679592245, -35.365380771537076]
[-46.55730552303927, 53.222943492604024]
[6.788126445643793, -27.958982266769468]
[131.24562887760857, 12.286238014664406]
[-256.8304682868998, -0.927089508002382]
[74.3350374292496, -81.33759357312397]
[-88.5525985151342, -101.37098800685322]
[20.745669291338583, 32.577480314960624]
[64.40808912569629, -67.37418261080165]
[-28.884071097022527, 25.928902977470848]
[-8.78889359898262, -40.67952522255193]
[64.83185840707965, -83.95863346367565]
[30.56532110091743, -18.345137614678897]
[-80.52534495279593, -74.57167755991284]
[95.0401966454598, -0.9933487565066628]
[110.5612658227848, -37.58658227848102]
[-93.66666666666667, -52.14123006833714]
[-11.264806499893094, -15.426876202694032]
[-47.01334205362982, 63.621190320470895]
[19.49449378330373, -69.18839550029604]
[-127.33428084138716, -30.267955277619848]
[50.385155982173465, 31.08964689749743]
[-84.54234945705824, -9.43849950641659]
[6.908702362578654, 20.409948949305473]
[-78.59813688704878, -30.90128089015397]
[-24.910990953519807, -61.093272330248524]
[-61.25761492637968, 34.88142070360796]
[-26.565989553105048, 151.06918165989552]
[-40.66010953392198, -30.280429194143295]
[97.35278207109737, 35.89219474497682]
[-72.47732181425486, -13.283846765942933]
[-148.39314659462534, -11.60244561353619]
[10.36519372398335, -27.992795389048993]
[27.292282088620762, -15.34324942791762]
[-9.861016090206512, 115.2826555175472]
[-22.359255023688938, -17.826825682078095]
[112.82622139764997, -12.666048237476815]
[-17.019116883116883, -76.99449350649351]
[-38.94213627436169, -80.71022813113763]
[0.43011022044088176, -56.45991983967936]
[5.7180395991200195, -27.972256172085068]
[-10.097525773195876, -30.48618556701031]
[37.18592592592593, -62.894962962962964]
[-1.554720133667502, -112.18796992481202]
[-5.997428571428571, 18.85142857142857]
[57.97799174690509, 11.06602475928473]
[-28.40057029506571, -21.629184230101657]
[-7.368226914271178, -48.22678707707962]
[-98.82238570677877, 74.65125240847784]
[-1.3394228223457771, 60.74821286735505]
[-29.106368833931658, -42.85786464565882]
[-107.50949185043144, -74.10028763183126]
[-137.64963012777403, -33.52297691100651]
[37.33327279331638, -61.00998910279695]
[-38.135104046847225, -61.15559970720486]
[49.37781579697747, -12.7171371542629]
[17.00409638554217, 37.05325301204819]
[-20.012792439783336, 37.51089086089662]
[-137.72035794183446, -7.4562266964951505]
[-81.23186907838071, 65.66890611541774]
[56.290081848820414, 33.627587867116034]
[-90.13561423081691, 7.109582248667408]
[75.08118295158017, 73.81095969846334]
[29.675700445142706, 119.7982456140351]
[17.297101449275363, -3.761559696342303]
[-78.60314160314161, -13.62531762531762]
[83.28799177166367, 7.327333504757007]
[-104.28883543796351, -27.69051914211265]
[18.634252827942053, 10.815042667195868]
[35.61764705882353, -40.587529411764706]
[-95.19092028857997, 41.72074608481436]
[6.252900232018561, 2.3610208816705267]
[-53.45117752375706, 42.80897947941055]
[9.889521399957832, -16.402909550917144]
[-12.873084085374588, -92.61767655063744]
[-51.76915265711384, 74.9826243935462]
[-5.988165680473373, 23.55295857988166]
[-108.99522575364888, 13.949392988678213]
[18.61510237897976, 28.948751331518523]
[9.43229286206105, -2.0255910029837025]
[-32.22011846837317, -82.43738100275016]
[-124.77538592267385, -9.106925364679228]
[-49.717522871217454, 46.39127375087966]
[-19.27535734705546, -17.7898227558605]
[174.51059271602, 57.54963104022852]
[-21.74876499647142, -68.1412440770239]
[-70.76736898973527, 17.9387358184765]
[29.781614559029396, 15.394073728418107]
[-13.375959079283888, 25.596058372197984]
[75.5542662116041, 28.735836177474397]
[-26.11306960440661, 107.35923885828743]
[-34.43177360605212, 59.41888484169235]
[-22.309340837753002, -4.155103366165168]
[-58.85250039438397, -16.68638586527844]
[-18.773012552301257, -60.00334728033473]
[-99.37752570010635, 23.12477844735909]
[32.25253174730751, 79.34190644590902]
[23.409433435668433, 7.311470834496234]
[-71.01691705592728, 23.607877793207933]
[-17.787773202407347, -16.791574279379155]
[35.93764487714418, -3.300649049605937]
[-66.89132993330718, -50.46959591996861]
[23.560606060606062, -105.1273849607183]
[-79.38221125602162, 20.002232405122783]
[80.48877427184466, -19.998786407767]
[2.9095673206127386, 12.35675893576996]
[-32.84535607282784, -23.310670661442728]
[86.84835981019187, -44.01547348875593]
[-105.49271377508936, 15.943909815782234]
[-12.263787445749973, 26.45633534455383]
[60.25387323943662, 45.996830985915494]
[18.377926421404684, 24.361482720178373]
[-69.25290374709625, -23.93354206645793]
[-68.68607875762618, 62.56794231835829]
[73.20441434662654, 47.74993729621269]
[-184.5791217895609, -49.45871306268987]
[-32.58883639160532, -20.280188990220854]
[44.19602272727273, 15.837436868686865]
[45.768643663539514, -73.41135315630466]
[6.752769385699899, 44.18076535750252]
[16.104146806482365, 6.85986653956148]
[-160.73856637400078, 42.84222251343205]
[63.3346641615782, 15.15993424142789]
[57.948628735161684, 36.76893164142447]
[-120.15619847099386, 10.63603657622545]
[-153.10284857571213, 16.466866566716647]
[25.450637132309158, 18.036441586280816]
[55.587931648273404, 91.0873976504094]
[14.331460674157304, -35.97542134831461]
[-16.401766828418562, -6.045290531292771]
[-40.8754908038851, 4.428704277743336]
[15.530748491462319, -8.973424059571187]
[-29.613645173795064, -41.51763793771805]
[-49.150111895334824, 15.881563091754174]
