[94.08461538461539, 117.46538461538462]
[-98.76749192680302, -116.47255113024758]
[42.07757424368582, 132.06786011656953]
[133.14285714285714, 145.003861003861]
[-112.47252747252747, -114.47252747252747]
[-53.354579128879806, -68.09694724741347]
[1.1917454858125538, -56.38349097162511]
[-7.648323205041638, 21.290681971640783]
[145.722695035461, 197.09432624113475]
[-110.6, -111.4]
[140.71735877291434, 157.18350168350167]
[-131.89777476561616, -58.849994352196994]
[-95.6272557560672, -49.46546359676416]
[-76.13748974569319, -69.28400328137818]
[153.39221556886227, 156.26047904191617]
[35.44982078853047, 119.5179211469534]
[-108.05870949875381, -98.99916920520631]
[-47.48245758524131, -39.05089771042662]
[30.266890474192195, 41.54762903902644]
[-42.68518740270626, -20.319243204406657]
[12.596383224317044, 77.98845709888418]
[68.34466019417475, 97.03236245954693]
[83.6380231522707, 79.76981300089047]
[-203.21550855991944, -194.14199395770393]
[77.72160356347439, 68.184855233853]
[184.105749055812, 244.6202266051196]
[-123.20617420066152, -117.47519294377068]
[69.84057971014492, 83.0]
[6.795427196149218, 59.04753309265945]
[-16.153197158081706, 96.78818827708703]
[-81.08005361276959, -61.22895089557694]
[112.11985018726591, 130.22921348314605]
[54.9449753837243, 59.088618592528235]
[-64.88586421777632, -104.8438832404067]
[-57.805258033106135, -108.82397489992427]
[114.45423728813559, 138.16949152542372]
[-80.06175687666371, -165.0111801242236]
[97.40263977458105, 156.1088536259825]
[-59.82541349435547, -72.91178787083224]
[-108.97365839988791, -63.372705618607256]
[58.302721088435376, 56.7108843537415]
[41.5187891440501, 44.44989561586639]
[-40.44588373835778, 61.740391821004174]
[-129.9268455257457, -47.28095317447092]
[-50.06782666518896, -46.98681148176881]
[137.9908256880734, 155.55045871559633]
[45.77445795875198, 109.23876255949233]
[-49.77216883590804, 37.518914973847465]
[107.45343511450382, 136.77251908396946]
[-9.153603727048507, 203.51370238421487]
[-111.62636383878869, -165.67401469605878]
[62.54095045500505, 95.37411526794742]
[77.9, 81.1]
[-162.02642055736519, -154.2976233562553]
[131.30322580645162, 191.61548387096775]
[-110.58359957401491, -83.58466453674122]
