[58.42368008363827, 137.14192368008364]
[-46.00668151447662, -95.0744137298572]
[-36.56841993861784, -102.83490316435602]
[30.295650783498562, 36.78269907259354]
[-58.415161536504705, -51.77664716357161]
[45.73409779316313, 101.416486369537]
[-87.70566204009694, -190.46970698391715]
[49.97094017094017, 72.83703703703704]
[-60.701707988980715, -3.974214876033058]
[40.75258999122037, 50.09095697980685]
[2.2514250309789343, 114.61350681536555]
[-129.7937379840703, -112.45015105740181]
[1.1969477553748469, 101.13211540603766]
[97.17667020148463, 163.03796394485684]
[29.54876741693462, 122.62754555198285]
[-28.411418734758286, -66.21029981351313]
[-76.49242506811989, 0.7426702997275204]
[-3.111967427657409, 64.67340410062528]
[-5.9077598828696924, 17.271107857491458]
[41.49585333915321, 155.85784955623456]
[61.12315023827439, 77.86004514672686]
[-91.75877248144887, -29.368129794994342]
[51.25883662677428, 95.46757584191484]
[38.523655913978494, 185.86774193548388]
[-4.685868048634642, -37.06258720350807]
[-149.70867637745408, -164.01950601646612]
[-42.48705960928368, -51.97679078310235]
[-5.074050086355786, -21.127374784110536]
[-22.218952567136537, 32.36670439345612]
[-11.991341550371803, -54.69216664968931]
[-76.45383951682484, -115.48403796376186]
[-46.86053624222653, 26.18217963095117]
[42.51140819964349, 78.5891265597148]
[128.0104585679807, 210.1005631536605]
[-27.71562357240749, -17.991548652352673]
[76.50424268137463, 115.3090793381417]
[20.424529418728543, 135.60056824908253]
[41.44630130253133, 86.74195133939543]
[12.92069917203312, 177.73836246550138]
[-62.98739898644021, -94.60361594302151]
[19.378174773999138, 95.22535514421007]
[101.59554818849159, 129.45204830689084]
[-44.12784632998346, -119.49662892761735]
[-50.51605160516051, -31.804980498049805]
[-40.10243151061723, 93.3272087138299]
[-15.307272524780043, 35.49504399153581]
[-52.8187329493786, -14.74194200262706]
[17.96152943936195, 70.2716396903589]
[54.51400778210117, 123.65058365758755]
[-79.59921750825285, -121.87846925051963]
[-9.179615342822993, 53.04835379767467]
[61.690184049079754, 32.710633946830264]
[-80.41163084702907, -120.66649810366624]
[-113.15443403028118, -6.609661139149243]
[-58.38743939044101, -64.48025860078504]
[-46.8805922623786, -25.653399140264288]
[4.446294559099437, 41.700046904315194]
[-29.601200218221496, -92.6683033278778]
[-86.36756967452739, -150.32001559150262]
[8.313911237996367, 22.34479626265248]
[-162.7152224824356, -59.54894613583138]
[-44.19165804894864, 45.90095369412846]
[-10.614401145545669, -92.88442262452695]
[44.43857493857494, 108.46454896454897]
[53.61924882629108, 173.07370892018778]
[-103.80973582665479, -111.64529533986347]
[0.6997661944711869, 84.35593453445193]
[-58.80563026716873, -39.99838622915546]
[-80.44468497208614, -89.46052181838897]
[-117.25582354153782, -130.27334570191712]
[-52.26267615865175, -131.978207177103]
[21.264046191427937, 186.67554963357762]
[-99.64538740768556, -81.09988734509952]
[-7.392277881441079, 87.61934835653797]
[-138.72368698586797, -139.6475427125079]
[40.810314085859275, 145.12330270196134]
[-0.9464874461070251, 37.14836418970327]
[-87.91722213610294, -165.61215315454967]
[-17.792375963916776, 64.88651243998254]
[-80.9435143170083, -88.49507119386638]
[28.56455951580363, 10.514794889038333]
[-69.76172953081877, -146.27769746353002]
[-102.16013437849944, -38.72626601965908]
[24.92621627853355, 71.02444085773577]
[28.47422680412371, 149.99130154639175]
[6.6695603156708, 120.8379932356257]
[-85.97250088516464, -229.61914316062789]
[-45.349824698091155, -62.41669912998312]
[-61.291627968687806, 75.81066737428685]
[73.69975031210986, 72.3039950062422]
[-29.716074887023886, 56.79522272433828]
[-153.46348262404757, -127.8648950009292]
[1.7149190866770117, 94.18266459765019]
[48.2138139790864, 139.4306549257017]
[-20.09034572733203, 25.870297890845837]
[107.52771210927239, 188.0929866036249]
[84.61715679631386, 177.5002032795772]
[-117.19327262590596, -72.11763612711393]
[-5.766755142667551, 3.70836098208361]
[-89.55063414634147, -44.29795121951219]
[-29.098227730800417, -17.584501332097766]
[-128.19303557910675, -84.91824375473126]
[-21.172623339169842, 73.5510351220517]
[5.153254505797268, -36.0140052806796]
[-39.62116214158843, -42.57066734331388]
[-78.41086979330605, -28.34623858986465]
[-144.7373192844891, -128.58294535653027]
[-121.7060116354234, -112.18487394957984]
[-3.940268183665177, -11.283421373425437]
[-12.966585271815962, 52.064387610846936]
[16.745552383044146, 62.38029870415111]
[-12.978610172960803, -111.56258315423192]
[-60.109906246470125, -126.36925336044278]
[43.16552315608919, 116.40165809033734]
[186.97608335306654, 143.8233483305707]
[-41.20400881519572, -7.076818134116906]
[-37.79835873388042, -127.53240663205493]
[-99.58445834705302, -85.83492481615629]
[-9.347694271581299, -135.03749800542525]
[62.46250732278852, 132.93116578793203]
[117.45012679628064, 87.00211327134404]
[-116.33280431677511, -105.50468179654023]
[-9.257628596338273, 1.102877070619006]
[13.869377162629759, 156.39878892733563]
[102.88289092125808, 225.5636850323444]
[-59.78925314271629, -2.2048311560266205]
[-31.90275206713563, -78.57484882142417]
[-100.03280586646082, -129.09957545349286]
[-128.02603282399548, -79.82614601018676]
[3.815945465323059, 74.86277415530527]
[-81.67473148671566, -10.998417184850197]
[107.56646726487205, 194.66184778996345]
[23.778517660683267, 76.80631152287204]
[14.011720039617035, 98.09128425222846]
[-25.359325498211547, -23.35053653551354]
[121.49872773536896, 145.3856375459429]
[-239.3308803488689, -268.22540201689833]
[-62.311225112984, -108.68816416269696]
[-89.3599771624322, -68.43220097059663]
[101.96401673640167, 190.46499302649931]
[-65.58573501969728, -53.11631764461953]
[65.19961941008563, 113.70884871550903]
[6.890407323868914, 149.8143823802574]
[117.9974501622624, 136.24177097821047]
[-96.20257738166927, 44.18547512947128]
[-48.66940610947434, -111.26112575593115]
[-77.17247551858482, -24.179319785195325]
[-159.65791021368358, -186.40835130366594]
[-105.41841106622597, -127.76924960215449]
[-36.51565053425519, -83.51829038340667]
[-93.24221375756218, -69.87766076630069]
