Class,Stages
Celestial,2
Celestial,4
Celestial,6
Chrono,2
Chrono,4
Chrono,6
Cybernetic,3
Cybernetic,6
Dark-Star,3
Dark-Star,6
Space-Pirate,2
Space-Pirate,4
Mech-Pilot,3
Rebel,3
Rebel,6
Star-Guardian,3
Star-Guardian,6
Valkyrie,2
Valkyrie,3
Void,3
Infiltrator,2
Infiltrator,4
Blaster,2
Blaster,4
Brawler,2
Brawler,4
Mercenary,1
Demolitionist,2
Protector,2
Protector,4
Mystic,2
Mystic,4
Sorcerer,2
Sorcerer,4
Sorcerer,6
Mana-Reaver,2
Mana-Reaver,3
Mana-Reaver,4
Blademaster,3
Blademaster,6
Sniper,2
Starship,1
Vanguard,2
Vanguard,4
Vanguard,6
